line_no,N,M_stored,M_pari,K_stored,K_pari,U_stored,U_pari,Q_stored,Q_pari,R_stored,R_pari,irreducible,max_off_circle,ok_irr,ok_M,ok_KUQR
81,20,1.246108142719430284972218264266577825200963841246039666730951164568017767,1.24610814271943028497221826426657782520096384124603966673095,2,2,16,16,4,4,0,0,1,0.116292140400276349169670364498838967056592755240658750562911,1,1,1
82,20,1.246878271453469522084911366507532057186660112617826398414459417072168878,1.24687827145346952208491136650753205718666011261782639841446,2,2,16,16,4,4,0,0,1,0.116637036576106731316142912100114856323410869986877105437212,1,1,1
83,20,1.253330650201489757028162788986138235892342419486482436157483570794348084,1.25333065020148975702816278898613823589234241948648243615748,1,1,18,18,0,0,2,2,1,0.253330650201489757028162788986138235892342419486482436157484,1,1,1
84,20,1.253635565708863179966296588941382211874553946150139746506509609617067318,1.25363556570886317996629658894138221187455394615013974650651,2,2,16,16,0,0,4,4,1,0.179756442194041923305912742686958553376127082715805095995805,1,1,1
85,20,1.254700427115452102189386694090426767809734585802281855613039121968380072,1.25470042711545210218938669409042676780973458580228185561304,2,2,16,16,4,4,0,0,1,0.120134111218586228351011602603407450061976467980171088244746,1,1,1
86,20,1.256293862611223415975753705520775920288549291470014658669783285293344744,1.25629386261122341597575370552077592028854929147001465866978,2,2,16,16,4,4,0,0,1,0.120845155501518602149925337910909212307367339742700775880330,1,1,1
87,20,1.259849432481125199859832241320669705979763575023521053966734097219954274,1.25984943248112519985983224132066970597976357502352105396673,2,2,16,16,4,4,0,0,1,0.122430145924959198242257972725647448464702974343701594909398,1,1,1
88,20,1.261360997649414797728260865749742220573365407446507034812977052168887859,1.26136099764941479772826086574974222057336540744650703481298,2,2,16,16,4,4,0,0,1,0.123103288949602710461709358842833876371464620464698859317011,1,1,1
89,20,1.262509762459997067797350814068603096236367008342258532454183390649339888,1.26250976245999706779735081406860309623636700834225853245418,2,2,16,16,4,4,0,0,1,0.123614596941494467250111702093816267881256004335675234228673,1,1,1
90,20,1.262564740670813015539497549190496221537099136001836825136562002106996123,1.26256474067081301553949754919049622153709913600183682513656,4,4,12,12,8,8,0,0,1,0.0604420456418702289162392155439288059050880395411394151133082,1,1,1
91,20,1.263945856409931678639300444516055404776047461428706213794615172614979017,1.26394585640993167863930044451605540477604746142870621379462,3,3,14,14,4,4,2,2,1,0.145232722500235168435878897488178694002756377044266433468389,1,1,1
92,20,1.268737648104070014251556598287494197456221311069009734320145308052257514,1.26873764810407001425155659828749419745622131106900973432015,2,2,16,16,4,4,0,0,1,0.126382549626932925280304438331179440862748061716001170209316,1,1,1
