N,M_PN,abs_diff_from_limit,gap_from_previous,K,U,Q,R
124,1.31029769350693933663730616245726308729521024269631685451979382992968723389737074759277377204737598529257296011407324715,5.486366e-02,2.090379e-03,19,86,36,2
126,1.30399363486651159510693639211567552693597230140785464761952716443667965796432096840794246376531805836644549287088269933,4.855960e-02,6.304059e-03,18,90,36,0
128,1.31342291536598961888559792888187967629615098511522666150610649761223615124706529328472898448247882274819484895417822909,5.798888e-02,9.429280e-03,19,90,36,2
130,1.29900879410429729627703842673956419614152461595873568116345878305100608562415704358936069605918831453535943623570682011,4.357476e-02,1.441412e-02,18,94,36,0
132,1.31434523117837032942310623473174245936585400035571885154668778051698802999556022184085175678704135377779435243462001682,5.891119e-02,1.533644e-02,21,90,40,2
134,1.30578647859794601872813911561227344506810844707223673637568618109593188698107998893870892423297527394141877100301887758,5.035244e-02,8.558753e-03,20,94,40,0
136,1.30701462763246110103131237171717241919167526060261727283232897370352905702980719372460029960411056952286439359836182197,5.158059e-02,1.228149e-03,19,98,36,2
138,1.31418197852951493877656212455892612346560442567853784352044650882465930543022285696975046547219174321038115608621610766,5.874794e-02,7.167351e-03,22,94,44,0
140,1.30934435746803297075444155992751220219013360788783379328415720933756974880294963698441737331736905673051951910350538362,5.391032e-02,4.837621e-03,21,98,40,2
142,1.30737344380258465866460616083637022156744949334542720501826648622400340234964661506570962090284659026496189745629558641,5.193941e-02,1.970914e-03,20,102,40,0
144,1.30700131455230350206546128298613735127008422815559259373210203374219020901597480915632694858916038748621355305187880008,5.156728e-02,3.721293e-04,21,102,40,2
146,1.31340473011216790189121755720898069646804127461721967455104677102758404300009910923396532288910863315945417122579769423,5.797069e-02,6.403416e-03,22,102,44,0
148,1.30219872218973556147116789473614720008896260035594654288343940219468063858075016531448648561412442748289209734758941262,4.676468e-02,1.120601e-02,21,106,40,2
150,1.31243445522220997554284933474475840652133329595620214240116369041445052242392358675563454915187378231328032738265302569,5.700042e-02,1.023573e-02,24,102,48,0
152,1.30052019046126655313188155486229236813567784530291061718579994254590472682992300639549962019781181135012446630400953844,4.508615e-02,1.191426e-02,21,110,40,2
154,1.30862854293427537968870274520671966985337057393815874841033689885912701571268733815836652649695223669199371951810541300,5.319451e-02,8.108352e-03,22,110,44,0
156,1.31232600437992504640155280287023499206899351562961009493336231810942563074347005442246344629751301434967407991195838197,5.689197e-02,3.697461e-03,25,106,48,2
158,1.30951049333360203665977887515497052500749283238872064041918948610825626678158856530904471584514385512267371750883865818,5.407646e-02,2.815511e-03,24,110,48,0
160,1.30809605260499350084255691464150759636955797887145433397943028794233963256251970711017932000515404764749148979235876630,5.266201e-02,1.414441e-03,23,114,44,2
162,1.30890896873997315834782281696956246795029988523645524120056149335824513319032251301290733798178438127549463250553461416,5.347493e-02,8.129161e-04,24,114,48,0
164,1.31303795648462268922936349008946536128613103862016135010238614020462996885558918981178157201502665563728234354154498050,5.760392e-02,4.128988e-03,25,114,48,2
166,1.30408180347464243850228765737760327927018894337761288358349027346314306659872914531195143209015697224345287568764989007,4.864777e-02,8.956153e-03,24,118,48,0
168,1.31136862357379546792748997478589453904118731781891012434262855790797243576052904544853280822285449386025414672156335739,5.593459e-02,7.286820e-03,25,118,48,2
170,1.30361787188133299508397810830436637000800628242223821953994478763947019093393551493129417037010088333889056957314683831,4.818383e-02,7.750752e-03,24,122,48,0
172,1.30954903836488255482864103490379667334518521432242021607865268177503766149202808992735084981987671955436842433139849913,5.411500e-02,5.931166e-03,25,122,48,2
