m,deg_Pm,Pm_irreducible,n_factors,M_Pm,deg_smallest_factor,M_smallest_factor,factor_in_database
349,350,1,1,1.25474928715598236771217541237,350,1.25474928715598236771217541237,True
351,352,1,1,1.25602457600009354748450694464,352,1.25602457600009354748450694464,True
353,354,0,2,1.25414488888487911211556073718,346,1.25414488888487911211556073718,True
355,356,1,1,1.25577762170456050288470862876,356,1.25577762170456050288470862876,True
357,358,0,2,1.25565688929937120324904065130,354,1.25565688929937120324904065130,True
359,360,1,1,1.25540234636784840963843488671,360,1.25540234636784840963843488671,True
361,362,1,1,1.25602216272330223776321152725,362,1.25602216272330223776321152725,True
363,364,0,2,1.25492971115153488905862572817,360,1.25492971115153488905862572817,True
365,366,1,1,1.25602390898855935917552430761,366,1.25602390898855935917552430761,True
367,368,0,2,1.25437967415240682112368855294,360,1.25437967415240682112368855294,True
369,370,1,1,1.25583129354346801659964255564,370,1.25583129354346801659964255564,True
371,372,1,1,1.25542991244819423555968062233,372,1.25542991244819423555968062233,True
373,374,1,1,1.25550717867220394241215003909,374,1.25550717867220394241215003909,True
375,376,1,1,1.25594164209312411362386427197,376,1.25594164209312411362386427197,True
377,378,1,1,1.25508472380084816838174580047,378,1.25508472380084816838174580047,True
379,380,1,1,1.25601007954612726563356648778,380,1.25601007954612726563356648778,True
381,382,0,2,1.25458464211615460369223182283,378,1.25458464211615460369223182283,True
383,384,1,1,1.25586971240286827962176471669,384,1.25586971240286827962176471669,True
385,386,1,1,1.25510269607622287679178483699,386,1.25510269607622287679178483699,True
387,388,0,2,1.25559355530017398790059446198,384,1.25559355530017398790059446198,True
389,390,1,1,1.25584409235256444323680044540,390,1.25584409235256444323680044540,True
391,392,1,1,1.25521764172714922828465435406,392,1.25521764172714922828465435406,True
393,394,1,1,1.25598379087900255838159133818,394,1.25598379087900255838159133818,True
395,396,1,1,1.25476368070089798370333203460,396,1.25476368070089798370333203460,True
397,398,1,1,1.25589449627384522069768967559,398,1.25589449627384522069768967559,True
399,400,1,1,1.25424633308551036307292588568,400,1.25424633308551036307292588568,True
401,402,1,1,1.25566370844077749013039478256,402,1.25566370844077749013039478256,True
403,404,1,1,1.25572549087263872238520592955,404,1.25572549087263872238520592955,True
405,406,0,2,1.25533122693237201752806386918,402,1.25533122693237201752806386918,True
407,408,1,1,1.25594528054486723400363053778,408,1.25594528054486723400363053778,True
409,410,1,1,1.25492004658473174516024313461,410,1.25492004658473174516024313461,True
411,412,0,2,1.25590689969884950871586205109,408,1.25590689969884950871586205109,True
413,414,0,2,1.25444530817677447672202715518,406,1.25444530817677447672202715518,True
415,416,1,1,1.25571947435477046352088615963,416,1.25571947435477046352088615963,True
417,418,1,1,1.25557783655064880914263277985,418,1.25557783655064880914263277985,True
419,420,1,1,1.25542778850636725565693394670,420,1.25542778850636725565693394670,True
421,422,1,1,1.25589424653758764800185912008,422,1.25589424653758764800185912008,True
423,424,1,1,1.25505648148140180876536811180,424,1.25505648148140180876536811180,True
425,426,1,1,1.25590785157744212195904458717,426,1.25590785157744212195904458717,True
427,428,0,2,1.25462131723079565699326533790,420,1.25462131723079565699326533790,True
429,430,0,2,1.25576235773827751460241477165,426,1.25576235773827751460241477165,True
431,432,1,1,1.25538303379732938911917750474,432,1.25538303379732938911917750474,True
433,434,1,1,1.25550926198646540754470300777,434,1.25550926198646540754470300777,True
435,436,0,2,1.25582967375127388487926146071,432,1.25582967375127388487926146071,True
437,438,1,1,1.25517530360610907064048741904,438,1.25517530360610907064048741904,True
439,440,1,1,1.25589797170994556413073810500,440,1.25589797170994556413073810500,True
441,442,1,1,1.25477703865529736250797751680,442,1.25477703865529736250797751680,True
443,444,1,1,1.25579357984313044290036430279,444,1.25579357984313044290036430279,True
445,446,1,1,1.25508282963854385711462665603,446,1.25508282963854385711462665603,True
