a,d,sign,m,deg_P,n_factors,M_P,deg_smallest_factor,M_smallest_factor,in_db
2,3,1,171,172,1,1.252254885823560944860440,172,1.252254885823560944860440,True
2,3,1,173,174,2,1.256735014006199610464450,168,1.256735014006199610464450,True
2,3,1,175,176,1,1.255176429314387361612492,176,1.255176429314387361612492,True
2,3,1,177,178,3,1.255750025585123333189680,168,1.255750025585123333189680,True
2,3,1,179,180,1,1.256909933363486285526413,180,1.256909933363486285526413,True
2,3,1,181,182,1,1.254493239451021564374130,182,1.254493239451021564374130,True
2,3,1,183,184,2,1.257155290618113280485174,180,1.257155290618113280485174,True
2,3,1,185,186,1,1.253039976590852232596048,186,1.253039976590852232596048,True
2,3,1,187,188,2,1.256757005258951770906441,182,1.256757005258951770906441,True
2,3,1,189,190,1,1.254088712639249583215929,190,1.254088712639249583215929,True
2,3,1,191,192,2,1.255967643824722639743859,186,1.255967643824722639743859,True
2,3,1,193,194,1,1.256530095298839795136290,194,1.256530095298839795136290,True
2,3,1,195,196,1,1.254910564009869045811270,196,1.254910564009869045811270,True
2,3,1,197,198,1,1.256974985695745268123381,198,1.256974985695745268123381,True
2,3,1,199,200,1,1.253659278946302569137233,200,1.253659278946302569137233,True
2,3,1,201,202,3,1.256744066713725314693757,192,1.256744066713725314693757,True
2,5,-1,5,6,1,1.401268367939854915101764,6,1.401268367939854915101764,False
2,5,-1,7,8,1,1.847521932115845004272094,8,1.847521932115845004272094,False
2,5,-1,9,10,1,1.176280818259917506544070,10,1.176280818259917506544070,True
2,5,-1,11,12,1,1.506460005749090926808732,12,1.506460005749090926808732,False
2,5,-1,13,14,1,1.307864961056857174368663,14,1.307864961056857174368663,False
2,5,-1,15,16,1,1.373621611631654637588487,16,1.373621611631654637588487,False
2,5,-1,17,18,1,1.379741707591644240849331,18,1.379741707591644240849331,False
2,5,-1,19,20,1,1.300579622066219398117945,20,1.300579622066219398117945,False
2,5,-1,21,22,1,1.362753175268737650581762,22,1.362753175268737650581762,False
2,5,-1,23,24,2,1.253635565708863179966297,20,1.253635565708863179966297,True
2,5,-1,25,26,2,1.334885735891372262334067,22,1.334885735891372262334067,False
2,5,-1,27,28,1,1.257981943423727214637000,28,1.257981943423727214637000,True
2,5,-1,29,30,1,1.366441619644023317631845,30,1.366441619644023317631845,False
2,5,-1,31,32,1,1.338498320858053724500506,32,1.338498320858053724500506,False
2,5,-1,33,34,1,1.353403213514651512741064,34,1.353403213514651512741064,False
2,5,-1,35,36,1,1.363257993113552732036952,36,1.363257993113552732036952,False
2,5,-1,37,38,1,1.333398049072869153530321,38,1.333398049072869153530321,False
2,5,-1,39,40,1,1.360990623953160972426858,40,1.360990623953160972426858,False
2,5,-1,41,42,1,1.313006106824169930037244,42,1.313006106824169930037244,False
2,5,-1,43,44,1,1.350299534028080970528562,44,1.350299534028080970528562,False
2,5,-1,45,46,1,1.293933853997707881870734,46,1.293933853997707881870734,True
2,5,-1,47,48,2,1.336755886935796543478028,44,1.336755886935796543478028,False
2,5,-1,49,50,2,1.316554062491435672832029,46,1.316554062491435672832029,False
2,5,-1,51,52,1,1.322554890081661906964971,52,1.322554890081661906964971,False
2,5,-1,53,54,1,1.342156976512982563889349,54,1.342156976512982563889349,False
2,5,-1,55,56,1,1.332226953860080775429846,56,1.332226953860080775429846,False
2,5,-1,57,58,1,1.350625767020503952713212,58,1.350625767020503952713212,False
2,5,-1,59,60,1,1.325552848006768145971886,60,1.325552848006768145971886,False
