N,M_PN,abs_diff_from_limit,gap_from_previous,K,U,Q,R
562,1.25574005635497942401252140207115339147498811755528166397065098754912787193841584786433012055747958997764381059892232391,3.060186e-04,5.875149e-04,38,486,76,0
564,1.25485956413787848833087988162541959273143973153066652260934758436898691022227817286305677611469377977061488620515786702,5.744736e-04,8.804922e-04,37,490,72,2
566,1.25563459365627485017094963084253419757569338098036620959628408302148755089930281019512099714205651391950604985627462091,2.005559e-04,7.750295e-04,38,490,76,0
568,1.25546346091383115762516525086659365352356656964422788424351639595414990130725519203162191111596662480266941916126330682,2.942319e-05,1.711327e-04,39,490,76,2
570,1.25545969397849859442098614603117652883512096504332454882996301389810916765292377151386181669949108898653159696066710310,2.565625e-05,3.766935e-06,38,494,76,0
572,1.25571181815198296621534215025021943658522052643797546969224698891962764088350700615493405176796889668781503657739996694,2.777804e-04,2.521242e-04,39,494,76,2
574,1.25523146402050295843009177340020291255043986156070501380331233381018604127075636191793377469428770710572010975240096542,2.025737e-04,4.803541e-04,38,498,76,0
576,1.25574065547664184773796070456561845069609881017953588039754167833291509516160433227068299551128978424671809926808919843,3.066177e-04,5.091915e-04,39,498,76,2
578,1.25495999680201866170034410264854203894749032609548007097211211970896868892401854145063843303407019661017531638161539079,4.740409e-04,7.806587e-04,38,502,76,0
580,1.25566095999090398234533317107204160062117417761517320460539305365514494787581831588754719396410260293082889506780124568,2.269223e-04,7.009632e-04,39,502,76,2
582,1.25530675520373370923978252413705932591289143156943309856586186774485134601727621518849706086711210725394597179839499105,1.272825e-04,3.542048e-04,40,502,80,0
584,1.25550865311474743803679792793399471655570338779761987333979985683574955019974488057698929775488951659414221936813969683,7.461539e-05,2.018979e-04,39,506,76,2
586,1.25566720897169355019420232459681971087394641673750623407470423618162459820639469681384957178283272635718129055172166075,2.331712e-04,1.585559e-04,40,506,80,0
588,1.25530163104825184693091099230971724710470925628331522150071861680523025127936710393152593445987206533974905361891084714,1.324067e-04,3.655779e-04,39,510,76,2
590,1.25573397261415680683195770506806214344973581358900902768388224090282916202264280510067566222089087835850165907497510408,2.999349e-04,4.323416e-04,40,510,80,0
592,1.25505071560805470444119717448307207917993750191408175611384352973377082322243258696541761903995291445757573065210497659,3.833221e-04,6.832570e-04,39,514,76,2
594,1.25568040306403705569183376459216795169092676782647765423552466992413524542807510123084116587969557323354170715273119083,2.463653e-04,6.296875e-04,40,514,80,0
596,1.25497629650119161981799025224586597318672461498943944289112296547722701834311285898376446900523803463468647707382732038,4.577412e-04,7.041066e-04,41,514,80,2
598,1.25555026746713872215122393403514151520109238703124706886328341108324804486086317978012202732898763155054695702562768361,1.162297e-04,5.739710e-04,40,518,80,0
600,1.25560968035165578403421207130041825444879747794217560192585426975243229308422910687641758098487703440207492502308418191,1.756426e-04,5.941288e-05,41,518,80,2
602,1.25536373722859224167704999452450186538900635195084199668984528744434051889140303802493822462166537752990483795549217619,7.030050e-05,2.459431e-04,40,522,80,0
